RLS Policies,,,
Row Level Security (RLS) controls which rows users can read or change.,,,
Docs,,,
FilterAll tables,,,
agency,,,
2 Policies,,,
Policy name,Command,Applies to,Rule expression
Authenticated users can view agencies,SELECT,authenticated,Using
,,,TRUE
Admins can manage agencies,ALL,authenticated,Using
,,,"(has_role(auth.uid(), 'system_admin'::app_role) OR has_role(auth.uid(), 'agency_admin'::app_role))"
care_needs,,,
2 Policies,,,
Policy name,Command,Applies to,Rule expression
Anyone authenticated can view care needs,SELECT,authenticated,Using
,,,TRUE
Admins can manage care needs,ALL,authenticated,Using
,,,"(has_role(auth.uid(), 'system_admin'::app_role) OR has_role(auth.uid(), 'agency_admin'::app_role))"
care_types,,,
2 Policies,,,
Policy name,Command,Applies to,Rule expression
Anyone authenticated can view care types,SELECT,authenticated,Using
,,,TRUE
Admins can manage care types,ALL,authenticated,Using
,,,"(has_role(auth.uid(), 'system_admin'::app_role) OR has_role(auth.uid(), 'agency_admin'::app_role))"
caregiver_availability,,,
3 Policies,,,
Policy name,Command,Applies to,Rule expression
Clients view caregiver availability (agency scope) 20251106,SELECT,public,Using
,,,(EXISTS ( SELECT 1 FROM (caregivers c JOIN clients cl ON ((cl.agency_id = c.agency_id))) WHERE ((c.id = caregiver_availability.caregiver_id) AND (cl.user_id = auth.uid()))))
Agency users can manage caregiver availability,ALL,public,Using
,,,(EXISTS ( SELECT 1 FROM caregivers WHERE ((caregivers.id = caregiver_availability.caregiver_id) AND (caregivers.agency_id = auth.uid()))))
Caregivers can manage their own availability,ALL,public,Using
,,,(caregiver_id IN ( SELECT caregivers.id FROM caregivers WHERE (caregivers.user_id = auth.uid())))
caregiver_certifications,,,
1 Policy,,,
Policy name,Command,Applies to,Rule expression
Agency users can manage certifications,ALL,public,Using
,,,(EXISTS ( SELECT 1 FROM caregivers WHERE ((caregivers.id = caregiver_certifications.caregiver_id) AND (caregivers.agency_id = auth.uid()))))
caregiver_registrations,,,
3 Policies,,,
Policy name,Command,Applies to,Rule expression
Managers can view caregiver registrations,SELECT,public,Using
,,,"((agency_id = auth.uid()) OR has_role(auth.uid(), 'system_admin'::app_role))"
Anyone can create caregiver registration,INSERT,public,Check
,,,TRUE
Managers can update caregiver registrations,UPDATE,public,Using
,,,"((agency_id = auth.uid()) OR has_role(auth.uid(), 'system_admin'::app_role))"
caregiver_skills,,,
2 Policies,,,
Policy name,Command,Applies to,Rule expression
Agency users can manage caregiver skills,ALL,public,Using
,,,(EXISTS ( SELECT 1 FROM caregivers WHERE ((caregivers.id = caregiver_skills.caregiver_id) AND (caregivers.agency_id = auth.uid()))))
Caregivers can manage their own skills,ALL,public,Using
,,,(caregiver_id IN ( SELECT caregivers.id FROM caregivers WHERE (caregivers.user_id = auth.uid())))
caregivers,,,
5 Policies,,,
Policy name,Command,Applies to,Rule expression
Caregivers can view their own profile,SELECT,public,Using
,,,(user_id = auth.uid())
Clients view caregivers (agency scope) 20251106,SELECT,public,Using
,,,(EXISTS ( SELECT 1 FROM clients cl WHERE ((cl.user_id = auth.uid()) AND (cl.agency_id = caregivers.agency_id))))
Caregivers can update their own profile,UPDATE,public,Using
,,,(user_id = auth.uid())
Agency users can manage their caregivers,ALL,public,Using
,,,(auth.uid() = agency_id)
Require authentication for caregiver access,ALL,public,Using
,,,(auth.uid() IS NOT NULL)
client_care_needs,,,
2 Policies,,,
Policy name,Command,Applies to,Rule expression
Agency users can manage client care needs,ALL,authenticated,Using
,,,(EXISTS ( SELECT 1 FROM clients WHERE ((clients.id = client_care_needs.client_id) AND (clients.agency_id = auth.uid()))))
Clients can manage their own care needs,ALL,authenticated,Using
,,,(client_id IN ( SELECT clients.id FROM clients WHERE (clients.user_id = auth.uid())))
client_orders,,,
2 Policies,,,
Policy name,Command,Applies to,Rule expression
Agency users can manage their client orders,ALL,public,Using
,,,(auth.uid() = agency_id)
Require authentication for client order access,ALL,public,Using
,,,(auth.uid() IS NOT NULL)
clients,,,
6 Policies,,,
Policy name,Command,Applies to,Rule expression
Staff can view clients,SELECT,authenticated,Using
,,,"((auth.uid() = agency_id) AND (has_role(auth.uid(), 'system_admin'::app_role) OR has_role(auth.uid(), 'agency_admin'::app_role) OR has_role(auth.uid(), 'manager'::app_role) OR has_role(auth.uid(), 'scheduler'::app_role) OR has_role(auth.uid(), 'hr_staff'::app_role)))"
Admins and managers can add clients,INSERT,authenticated,Check
,,,"((auth.uid() = agency_id) AND (has_role(auth.uid(), 'system_admin'::app_role) OR has_role(auth.uid(), 'agency_admin'::app_role) OR has_role(auth.uid(), 'manager'::app_role)))"
Admins and managers can update clients,UPDATE,authenticated,Using
,,,"((auth.uid() = agency_id) AND (has_role(auth.uid(), 'system_admin'::app_role) OR has_role(auth.uid(), 'agency_admin'::app_role) OR has_role(auth.uid(), 'manager'::app_role)))"
Admins and managers can delete clients,DELETE,authenticated,Using
,,,"((auth.uid() = agency_id) AND (has_role(auth.uid(), 'system_admin'::app_role) OR has_role(auth.uid(), 'agency_admin'::app_role) OR has_role(auth.uid(), 'manager'::app_role)))"
Clients can view their own profile,SELECT,public,Using
,,,(user_id = auth.uid())
Clients can update their own profile,UPDATE,public,Using
,,,(user_id = auth.uid())
profiles,,,
3 Policies,,,
Policy name,Command,Applies to,Rule expression
Admins can view all profiles,SELECT,public,Using
,,,"(has_role(auth.uid(), 'system_admin'::app_role) OR has_role(auth.uid(), 'agency_admin'::app_role))"
Users can view their own profile,SELECT,public,Using
,,,(auth.uid() = id)
Users can update their own profile,UPDATE,public,Using
,,,(auth.uid() = id)
role_permissions,,,
2 Policies,,,
Policy name,Command,Applies to,Rule expression
Anyone authenticated can view permissions,SELECT,public,Using
,,,(auth.uid() IS NOT NULL)
System admins can manage permissions,ALL,public,Using
,,,"has_role(auth.uid(), 'system_admin'::app_role)"
shift_assignments,,,
2 Policies,,,
Policy name,Command,Applies to,Rule expression
Agency users can manage shift assignments,ALL,public,Using
,,,(EXISTS ( SELECT 1 FROM shifts WHERE ((shifts.id = shift_assignments.shift_id) AND (shifts.agency_id = auth.uid()))))
Require authentication for shift assignment access,ALL,public,Using
,,,(auth.uid() IS NOT NULL)
shift_trades,,,
3 Policies,,,
Policy name,Command,Applies to,Rule expression
Agency users can view shift trades,SELECT,public,Using
,,,(EXISTS ( SELECT 1 FROM caregivers WHERE ((caregivers.id = shift_trades.original_caregiver_id) AND (caregivers.agency_id = auth.uid()))))
Caregivers can create shift trades,INSERT,public,Check
,,,(original_caregiver_id IN ( SELECT caregivers.id FROM caregivers WHERE (caregivers.agency_id = auth.uid())))
Agency users can update shift trades,UPDATE,public,Using
,,,(EXISTS ( SELECT 1 FROM caregivers WHERE ((caregivers.id = shift_trades.original_caregiver_id) AND (caregivers.agency_id = auth.uid()))))
shifts,,,
2 Policies,,,
Policy name,Command,Applies to,Rule expression
Agency users can manage their shifts,ALL,public,Using
,,,(auth.uid() = agency_id)
Require authentication for shift access,ALL,public,Using
,,,(auth.uid() IS NOT NULL)
system_modules,,,
2 Policies,,,
Policy name,Command,Applies to,Rule expression
Anyone authenticated can view active modules,SELECT,public,Using
,,,((is_active = true) AND (auth.uid() IS NOT NULL))
System admins can manage modules,ALL,public,Using
,,,"has_role(auth.uid(), 'system_admin'::app_role)"
system_roles,,,
2 Policies,,,
Policy name,Command,Applies to,Rule expression
Anyone authenticated can view active system roles,SELECT,public,Using
,,,((is_active = true) AND (auth.uid() IS NOT NULL))
System admins can manage system roles,ALL,public,Using
,,,"has_role(auth.uid(), 'system_admin'::app_role)"
time_off_requests,,,
4 Policies,,,
Policy name,Command,Applies to,Rule expression
Caregivers can view their own time off requests,SELECT,public,Using
,,,(caregiver_id IN ( SELECT caregivers.id FROM caregivers WHERE (caregivers.agency_id = auth.uid())))
Managers can view time off requests,SELECT,public,Using
,,,"(has_role(auth.uid(), 'manager'::app_role) OR has_role(auth.uid(), 'agency_admin'::app_role) OR has_role(auth.uid(), 'scheduler'::app_role))"
Caregivers can create time off requests,INSERT,public,Check
,,,(caregiver_id IN ( SELECT caregivers.id FROM caregivers WHERE (caregivers.agency_id = auth.uid())))
Managers can update time off requests,UPDATE,public,Using
,,,"(has_role(auth.uid(), 'manager'::app_role) OR has_role(auth.uid(), 'agency_admin'::app_role))"
user_roles,,,
2 Policies,,,
Policy name,Command,Applies to,Rule expression
Users can view their own roles,SELECT,public,Using
,,,(auth.uid() = user_id)
Admins can manage all roles,ALL,public,Using
,,,"(has_role(auth.uid(), 'system_admin'::app_role) OR has_role(auth.uid(), 'agency_admin'::app_role))"
