id;code;category;name;description;is_active;created_at;updated_at;keywords;price;duration_hours
cb7b3f25-898e-4e73-86ee-f066c1b5323d;CS001;Activities of Daily Living (ADL);Personal Hygiene;Complete bathing, grooming, oral care, and dressing assistance;true;2025-11-06 08:43:18.464179+00;2025-11-06 08:43:18.464179+00;Showering, hair care, shaving, choosing clothes, getting dressed;35.00;4.0
a03a6d52-ee4b-4e53-8113-bb4ec2c509a3;CS003;Activities of Daily Living (ADL);Toileting & Continence Care;Complete bathroom assistance and hygiene;true;2025-11-06 08:43:18.464179+00;2025-11-06 08:43:18.464179+00;Toilet transfers, incontinence management, catheter care, hygiene;35.00;4.0
61054e50-8c8a-4e97-b95c-557a5651ece7;CS004;Activities of Daily Living (ADL);Mobility & Transfers;All movement assistance within the home;true;2025-11-06 08:43:18.464179+00;2025-11-06 08:43:18.464179+00;Bed/chair transfers, walking support, stairs, positioning, using mobility aids;35.00;4.0
876192de-6e4f-48b9-bf71-cd6cfe277491;CS005;Instrumental Activities of Daily Living (IADL);Home Management;Complete household maintenance and chores;true;2025-11-06 08:43:18.464179+00;2025-11-06 08:43:18.464179+00;Cleaning, laundry, organizing, light repairs, plant care, bed making;35.00;4.0
fd55f9f2-7da3-4d96-938d-2a74ac7d3e26;CS006;Instrumental Activities of Daily Living (IADL);Shopping & Errands;All shopping and errand assistance;true;2025-11-06 08:43:18.464179+00;2025-11-06 08:43:18.464179+00;Groceries, pharmacy, supplies, putting items away, returns;35.00;4.0
daeab2dd-53f1-4f1f-90c9-d0d4f7ae1a76;CS007;Instrumental Activities of Daily Living (IADL);Financial & Administrative;Money and paperwork management;true;2025-11-06 08:43:18.464179+00;2025-11-06 08:43:18.464179+00;Bill paying, budgeting, insurance forms, mail, phone calls;35.00;4.0
de270f38-3c4b-4bbe-8ac7-81eac634cdeb;CS008;Instrumental Activities of Daily Living (IADL);Medication Management;Complete medication support;true;2025-11-06 08:43:18.464179+00;2025-11-06 08:43:18.464179+00;Organizing pills, reminders, administration, refills, coordination with pharmacy;35.00;4.0
dfc32f35-f525-4b4c-8bd7-b75a6bce362a;CS009;Health Monitoring & Care;Health Monitoring;Routine health checks and observation;true;2025-11-06 08:43:18.464179+00;2025-11-06 08:43:18.464179+00;Vital signs, blood sugar, weight, symptom tracking, health records;35.00;4.0
43636130-1d28-495a-9f02-372a05bf9968;CS010;Health Monitoring & Care;Wound & Recovery Care;Post-medical care and healing support;true;2025-11-06 08:43:18.464179+00;2025-11-06 08:43:18.464179+00;Wound dressing, post-surgery care, rehabilitation exercises, skin care;35.00;4.0
5c45234f-37d4-4917-bbc5-d72cc8b86e2d;CS011;Health Monitoring & Care;Chronic Condition Support;Ongoing disease management;true;2025-11-06 08:43:18.464179+00;2025-11-06 08:43:18.464179+00;Diabetes, heart disease, COPD, arthritis management, equipment maintenance;35.00;4.0
5e7ab4a8-4dbd-4507-9335-6c39b35f3d65;CS012;Cognitive & Emotional Support;Memory & Cognitive Support;Mental stimulation and orientation;true;2025-11-06 08:43:18.464179+00;2025-11-06 08:43:18.464179+00;Memory exercises, reminders, decision-making help, confusion management;35.00;4.0
0bbafc59-359e-431c-88d8-77cfb7f9a71c;CS013;Cognitive & Emotional Support;Companionship & Social Support;Emotional wellbeing and social interaction;true;2025-11-06 08:43:18.464179+00;2025-11-06 08:43:18.464179+00;Conversation, activities, hobbies, reducing isolation, behavioral support;35.00;4.0
95b174b1-4f9e-4c28-8166-625a489d4b39;CS002;Activities of Daily Living (ADL);Eating & Nutrition Support;Meal assistance from preparation to consumption;true;2025-11-06 08:43:18.464179+00;2025-11-06 08:43:18.464179+00;Feeding help, cutting food, meal planning, cooking, special diets;30.00;4.0
1c6a3590-0374-432d-8798-b534ce9d8cad;CS014;Safety & Transportation;Home Safety & Fall Prevention;Complete safety management;true;2025-11-06 08:43:18.464179+00;2025-11-06 08:43:18.464179+00;Hazard removal, safety equipment, fall prevention, emergency response;35.00;4.0
171c7f03-9b2c-4966-8cb6-b6d4ba96351d;CS015;Safety & Transportation;Transportation & Accompaniment;All travel and escort needs;true;2025-11-06 08:43:18.464179+00;2025-11-06 08:43:18.464179+00;Medical appointments, shopping trips, social visits, errands;35.00;4.0
440a9100-6ee7-4cf9-8b41-a343e9931df3;CS016;Specialized Care;Dementia & Alzheimer's Care;Specialized cognitive decline support;true;2025-11-06 08:43:18.464179+00;2025-11-06 08:43:18.464179+00;Wandering prevention, structured activities, sundowning management;35.00;4.0
5a850061-88fa-4ae6-ad05-522792699fe3;CS017;Specialized Care;Movement Disorder Care;Support for Parkinson's and similar conditions;true;2025-11-06 08:43:18.464179+00;2025-11-06 08:43:18.464179+00;Tremor assistance, rigidity management, specialized mobility techniques;35.00;4.0
e3afacde-4137-47c7-ae8d-eef189988a29;CS018;Specialized Care;Comfort & End-of-Life Care;Palliative and hospice support;true;2025-11-06 08:43:18.464179+00;2025-11-06 08:43:18.464179+00;Pain management, comfort care, family support, dignity preservation;35.00;4.0
4ef666a3-4075-4365-8eb0-53b5b5d3eab5;CS019;Specialized Care;Overnight & Respite Care;Extended and relief care services;true;2025-11-06 08:43:18.464179+00;2025-11-06 08:43:18.464179+00;Night supervision, 24-hour care, family caregiver breaks;35.00;4.0
