id;caregiver_id;care_type_code;proficiency_level;years_experience;is_certified;created_at;updated_at
99636676-d921-4aa0-9908-5279b453037b;28dd013f-37b6-4706-af01-c18dc6df2918;CS004;expert;10;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
87d48cec-5f3a-47e7-ba67-9ab9fd528930;28dd013f-37b6-4706-af01-c18dc6df2918;CS008;expert;9;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
436862de-1c9d-4bcb-a78b-7bec930cb8bb;28dd013f-37b6-4706-af01-c18dc6df2918;CS011;advanced;7;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
f24ffe84-0a9a-41a1-b870-195a577a2e90;28dd013f-37b6-4706-af01-c18dc6df2918;CS001;advanced;5;false;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
19bed4bc-6e4c-4443-9f0c-2b41910d3e45;64f4c59d-c968-4e28-905d-0b4f2b84ae21;CS009;expert;7;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
6d5e1d90-9ef1-41a6-848e-e66b0706246d;64f4c59d-c968-4e28-905d-0b4f2b84ae21;CS003;expert;7;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
c0130fbd-19d1-4ef3-a4d9-9e253526976a;64f4c59d-c968-4e28-905d-0b4f2b84ae21;CS016;advanced;5;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
16405eeb-91a0-49ae-989a-421d0d1c2b0b;64f4c59d-c968-4e28-905d-0b4f2b84ae21;CS017;advanced;4;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
9125a46d-7081-4990-b0a6-e102c89688d8;0cb5ce76-4e2b-4e50-a9ef-cf4e4a8eb031;CS001;advanced;6;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
2e159f1e-7384-46ac-bc02-35d9760b2053;0cb5ce76-4e2b-4e50-a9ef-cf4e4a8eb031;CS002;advanced;6;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
4e2b1f30-004d-4379-9245-c681a48146da;0cb5ce76-4e2b-4e50-a9ef-cf4e4a8eb031;CS005;intermediate;4;false;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
e0b1633a-c7f0-487b-907c-1b8ed7bb2e54;0cb5ce76-4e2b-4e50-a9ef-cf4e4a8eb031;CS007;intermediate;3;false;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
4864c80b-ffed-40f1-a63c-f8013b91f1e2;d5bd3783-d5a7-4e2e-b47d-64a6b4726b15;CS014;expert;9;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
1f8db2dd-2de4-42a0-bf4a-4a8c7069c3b8;d5bd3783-d5a7-4e2e-b47d-64a6b4726b15;CS013;expert;8;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
d5d9fc5e-6222-471a-954f-39c59a55fa53;d5bd3783-d5a7-4e2e-b47d-64a6b4726b15;CS004;advanced;7;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
3ed57d2a-1fcc-4e0f-8430-da8504f023b6;d5bd3783-d5a7-4e2e-b47d-64a6b4726b15;CS008;advanced;6;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
67dce4c3-acca-49c5-84a3-66aef397c38f;eb5ef8d2-e63b-4e6d-9b4b-86f6d6cc8113;CS018;expert;11;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
2291e8a2-f053-4287-8ae9-1bc5181c84d3;eb5ef8d2-e63b-4e6d-9b4b-86f6d6cc8113;CS007;expert;10;false;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
a4669f4e-5a0d-41dd-9b29-43294e8489df;eb5ef8d2-e63b-4e6d-9b4b-86f6d6cc8113;CS001;advanced;8;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
fad52647-cb92-4ed2-b206-e43bc07001bf;b2916c5b-ad98-44cf-aaf8-9e44502adb48;CS010;advanced;5;false;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
7c38e036-9d6d-4713-8e65-6c486e80b9ce;b2916c5b-ad98-44cf-aaf8-9e44502adb48;CS007;intermediate;4;false;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
3c0a54e6-9388-4f85-9faa-2d4e170bff99;b2916c5b-ad98-44cf-aaf8-9e44502adb48;CS005;intermediate;3;false;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
7a7d00c2-c5ca-4603-8c01-9a2c66fa2fa9;d4c4bfa4-e8ba-4223-8902-91a9d3a9c2fc;CS012;expert;8;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
326088be-d200-48d6-9135-21d899de2bd2;d4c4bfa4-e8ba-4223-8902-91a9d3a9c2fc;CS003;advanced;7;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
d3d5351a-8b30-4f30-bbbf-83e67c64206a;d4c4bfa4-e8ba-4223-8902-91a9d3a9c2fc;CS001;advanced;6;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
